car_id,price,car_age,engine_volume,cylinders,car_run_km,safety_feature_count,comfort_feature_count,manufacturer,model,fuel_type,gear_type,drive_type,color,category,abs,esd,el_windows,conditioner,leather,hydraulics,chair_warming,climat_control,customs_passed,tech_inspection,has_turbo,right_wheel,start_stop,back_camera,is_dealer,is_spec
74866337,10500.0,13,3500.0,6,189000.0,3,23,Mercedes-Benz,E 350,Petrol,Tiptronic,Rear,Grey,Sedan,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
74488237,4800.0,14,1500.0,4,220000.0,0,1,Honda,FIT,Petrol,Manual,Front,Blue,Hatchback,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
74276537,1200.0,25,2400.0,4,200000.0,0,2,Dodge,Stratus,Petrol,Automatic,Rear,Carnelian red,Sedan,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
74871497,15500.0,10,3000.0,6,118500.0,3,24,Audi,Q5,Diesel,Automatic,4x4,Beige,Jeep,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0
74870829,1900.0,24,1300.0,4,30000.0,1,10,Subaru,Justy,Petrol,Manual,4x4,Blue,Hatchback,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
74871385,3500.0,17,1500.0,4,250000.0,1,16,Subaru,Impreza,Petrol,Tiptronic,4x4,Black,Hatchback,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0
73186333,6900.0,10,1800.0,4,102000.0,3,16,Toyota,Prius,Hybrid,Automatic,Front,Green,Hatchback,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0
74204033,17800.0,11,3000.0,6,69000.0,3,38,BMW,X5,Petrol,Tiptronic,4x4,White,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
74427625,5500.0,12,1800.0,4,190720.0,2,16,Volkswagen,Jetta,Petrol,Tiptronic,Front,Silver,Sedan,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0
73093213,4300.0,23,2200.0,4,243000.0,2,21,Mercedes-Benz,E 220,Diesel,Automatic,Rear,Black,Sedan,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
74875117,3800.0,23,2500.0,6,238000.0,2,13,BMW,325,Petrol,Tiptronic,Rear,Black,Coupe,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
73412501,19000.0,14,3000.0,6,198000.0,3,37,Land Rover,Range Rover Sport,Diesel,Automatic,4x4,Black,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
73513565,3800.0,23,3200.0,6,245000.0,3,21,Mercedes-Benz,ML 320,CNG,Tiptronic,4x4,Golden,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74891637,6550.0,8,1000.0,3,116000.0,3,20,Ford,Focus,Petrol,Tiptronic,Front,White,Sedan,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0
74266421,5700.0,13,3700.0,6,315200.0,3,23,Mazda,CX-9,Petrol,Automatic,4x4,White,Jeep,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
71571397,55000.0,5,3500.0,6,14500.0,3,39,Lexus,RX 450,Hybrid,Tiptronic,4x4,Grey,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
74357553,11500.0,8,2000.0,4,44000.0,3,22,Mini,Cooper,Petrol,Tiptronic,Front,Black,Hatchback,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74434473,4900.0,17,2300.0,4,300000.0,2,22,Ford,Escape,Hybrid,Automatic,Front,Black,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
73074341,16500.0,6,1800.0,4,39000.0,3,22,Toyota,Prius,Hybrid,Automatic,Front,Black,Sedan,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
74909509,5800.0,14,2000.0,4,200000.0,1,18,Volkswagen,Jetta,Diesel,Tiptronic,Front,Silver,Sedan,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0
74788573,3500.0,22,3500.0,6,123000.0,3,23,Nissan,Skyline,LPG,Tiptronic,Rear,Orange,Coupe,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0
74822485,17600.0,11,3000.0,6,183000.0,3,23,BMW,535,Diesel,Tiptronic,4x4,Grey,Sedan,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0
73839505,10900.0,5,2000.0,4,37000.0,0,1,Hyundai,Elantra,Petrol,Automatic,Front,White,Sedan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74704597,28500.0,10,3000.0,6,120000.0,0,1,BMW,X5,Petrol,Automatic,4x4,Grey,Jeep,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
73176865,4800.0,14,1400.0,4,182400.0,2,20,Chevrolet,Cruze,Petrol,Automatic,Front,Black,Sedan,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
72988257,5000.0,10,1800.0,4,189300.0,3,29,Toyota,Prius,Hybrid,Variator,Front,Silver,Hatchback,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0
74925917,17300.0,13,3500.0,6,152000.0,3,39,Mercedes-Benz,ML 350,Petrol,Tiptronic,4x4,Silver,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
74777857,3800.0,21,4000.0,8,30000.0,2,21,Mercedes-Benz,ML 400,Diesel,Automatic,4x4,Blue,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
74927093,15500.0,12,3500.0,6,2000.0,3,23,Mercedes-Benz,E 350,Petrol,Tiptronic,Rear,Black,Coupe,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
73832893,7500.0,9,1500.0,4,80000.0,3,16,Chevrolet,Malibu,Petrol,Tiptronic,Rear,Silver,Sedan,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0
74827105,7800.0,19,3500.0,6,230000.0,2,20,Mercedes-Benz,ML 350,Petrol,Automatic,4x4,Grey,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
74927885,7999.0,12,2500.0,4,81000.0,3,14,Subaru,Forester,Petrol,Variator,4x4,White,Jeep,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0
74811509,9500.0,12,3500.0,6,148000.0,3,21,Mercedes-Benz,C 300,Petrol,Automatic,4x4,White,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74374725,9500.0,8,2400.0,4,59581.0,2,13,Fiat,500X,Petrol,Tiptronic,Front,Black,Jeep,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
74930437,19500.0,9,3000.0,6,149000.0,3,23,Dodge,RAM,Diesel,Automatic,4x4,Blue,Pickup,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0
74111073,3300.0,17,2000.0,6,235200.0,2,22,Audi,A4,Petrol,Tiptronic,Front,Grey,Coupe,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0
74929753,7200.0,11,1800.0,4,111200.0,2,10,Hyundai,Elantra,Petrol,Automatic,Front,Blue,Sedan,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
74928869,3700.0,23,2400.0,6,215025.0,0,13,Mercedes-Benz,CLK 240,Petrol,Tiptronic,4x4,Silver,Sedan,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0
74930845,16000.0,9,2000.0,4,100000.0,3,21,Mercedes-Benz,C 300,Petrol,Tiptronic,Rear,Silver,Sedan,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0
74678817,7300.0,11,2000.0,4,145000.0,2,19,BMW,320,Petrol,Tiptronic,4x4,Grey,Sedan,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
73924293,45000.0,8,2000.0,4,40000.0,3,23,Land Rover,Range Rover  Velar,Diesel,Tiptronic,4x4,Silver,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74931293,4550.0,12,1500.0,4,165700.0,3,12,Toyota,Aqua,Hybrid,Automatic,Front,Black,Hatchback,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0
74849017,5900.0,12,1500.0,4,112300.0,3,30,Toyota,Aqua,Hybrid,Variator,Front,White,Hatchback,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0
74737817,1100.0,9,3000.0,6,56000.0,3,22,Jeep,Cherokee,Petrol,Tiptronic,4x4,Carnelian red,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74940769,8000.0,13,2000.0,4,240000.0,2,34,BMW,328,Petrol,Tiptronic,4x4,Black,Sedan,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0
74938117,55000.0,10,5000.0,8,60000.0,3,39,Land Rover,Range Rover Sport,Petrol,Tiptronic,4x4,Black,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0
73654549,4700.0,13,1300.0,4,124000.0,2,14,Honda,FIT,Petrol,Variator,Front,Silver,Sedan,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0
74937693,9000.0,10,2000.0,4,125000.0,2,17,BMW,228,Petrol,Tiptronic,Rear,Black,Coupe,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0
74938273,5900.0,12,1400.0,4,41230.0,2,22,MG,3,Petrol,Automatic,Front,Orange,Hatchback,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
74938045,4900.0,13,2000.0,4,115000.0,2,14,Ford,Focus,Petrol,Automatic,Front,Blue,Hatchback,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
72719537,6190.0,10,1500.0,4,55000.0,3,20,Toyota,Aqua,Hybrid,Automatic,Front,Grey,Hatchback,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0
74831657,9200.0,12,2500.0,4,115000.0,2,19,Toyota,Camry,Petrol,Tiptronic,Front,Grey,Sedan,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
72843901,14700.0,8,2000.0,4,88000.0,3,22,Toyota,CHR,Petrol,Tiptronic,Front,Grey,Jeep,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0
73526797,8800.0,11,2500.0,8,204800.0,3,23,Mazda,Mazda 6,Petrol,Tiptronic,Front,Carnelian red,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
73451597,19500.0,14,4700.0,8,123000.0,3,23,Mercedes-Benz,CLS 550,Petrol,Tiptronic,Rear,Silver,Sedan,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
74931641,6300.0,15,1800.0,4,147003.0,3,16,Toyota,Prius,Hybrid,Variator,Front,Red,Hatchback,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0
74819085,9600.0,12,1400.0,4,203200.0,3,18,Chevrolet,Volt,Plug-in Hybrid,Automatic,Front,White,Sedan,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0
74199241,4900.0,13,1300.0,4,92000.0,3,20,Honda,FIT,Petrol,Automatic,Front,Carnelian red,Hatchback,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0
74916709,12000.0,14,3200.0,6,224000.0,3,21,Audi,Q5,Petrol,Tiptronic,4x4,Black,Jeep,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0
